cust,date,sales
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,22
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,25.5
17850,2010-12-01,11.1
17850,2010-12-01,11.1
13047,2010-12-01,54.08
13047,2010-12-01,12.6
13047,2010-12-01,12.6
13047,2010-12-01,30
13047,2010-12-01,9.9
13047,2010-12-01,25.5
13047,2010-12-01,14.85
13047,2010-12-01,19.9
13047,2010-12-01,17.85
13047,2010-12-01,17.85
13047,2010-12-01,31.8
13047,2010-12-01,31.8
13047,2010-12-01,25.5
13047,2010-12-01,14.85
13047,2010-12-01,14.85
13047,2010-12-01,14.85
13047,2010-12-01,17.85
12583,2010-12-01,90
12583,2010-12-01,90
12583,2010-12-01,45
12583,2010-12-01,10.2
12583,2010-12-01,15.6
12583,2010-12-01,40.8
12583,2010-12-01,30
12583,2010-12-01,53.1
12583,2010-12-01,70.8
12583,2010-12-01,46.8
12583,2010-12-01,46.8
12583,2010-12-01,46.8
12583,2010-12-01,17
12583,2010-12-01,39.6
12583,2010-12-01,70.8
12583,2010-12-01,45
12583,2010-12-01,10.08
12583,2010-12-01,10.08
12583,2010-12-01,23.4
12583,2010-12-01,54
13748,2010-12-01,204
17850,2010-12-01,11.1
17850,2010-12-01,11.1
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,22
17850,2010-12-01,29.7
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,9.9
17850,2010-12-01,27.8
17850,2010-12-01,12.6
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,25.5
15100,2010-12-01,350.4
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,22
17850,2010-12-01,29.7
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,9.9
17850,2010-12-01,27.8
17850,2010-12-01,12.6
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,25.5
15291,2010-12-01,165.6
15291,2010-12-01,163.2
17850,2010-12-01,11.1
17850,2010-12-01,11.1
14688,2010-12-01,19.5
14688,2010-12-01,19.5
14688,2010-12-01,29.5
14688,2010-12-01,8.5
14688,2010-12-01,45
14688,2010-12-01,22.5
14688,2010-12-01,10.2
14688,2010-12-01,16.5
14688,2010-12-01,15.3
14688,2010-12-01,15.3
14688,2010-12-01,50.4
14688,2010-12-01,13.2
14688,2010-12-01,13.2
14688,2010-12-01,13.2
14688,2010-12-01,17.7
14688,2010-12-01,60
14688,2010-12-01,36.48
14688,2010-12-01,19.5
14688,2010-12-01,19.5
17809,2010-12-01,34.8
15311,2010-12-01,97.75
15311,2010-12-01,24.75
15311,2010-12-01,19.5
15311,2010-12-01,4.2
15311,2010-12-01,7.5
15311,2010-12-01,30
15311,2010-12-01,30
15311,2010-12-01,1.25
15311,2010-12-01,0.85
15311,2010-12-01,2.55
15311,2010-12-01,16.5
15311,2010-12-01,5.07
15311,2010-12-01,1.95
15311,2010-12-01,4.2
15311,2010-12-01,2.95
15311,2010-12-01,2.95
15311,2010-12-01,11.8
15311,2010-12-01,2.95
15311,2010-12-01,5.1
15311,2010-12-01,3.75
15311,2010-12-01,5.1
15311,2010-12-01,0.85
15311,2010-12-01,0.85
15311,2010-12-01,1.45
15311,2010-12-01,4.95
15311,2010-12-01,5.9
15311,2010-12-01,11.9
15311,2010-12-01,11.9
15311,2010-12-01,5.8
15311,2010-12-01,2.95
15311,2010-12-01,1.95
15311,2010-12-01,3.3
15311,2010-12-01,11.85
15311,2010-12-01,38.16
15311,2010-12-01,67.5
14527,2010-12-01,-27.5
16098,2010-12-01,10.2
16098,2010-12-01,30
16098,2010-12-01,19.8
16098,2010-12-01,19.5
16098,2010-12-01,21
16098,2010-12-01,92.5
16098,2010-12-01,23.6
16098,2010-12-01,15
16098,2010-12-01,71.4
